"TIME","GEO","SIEC","PARTNER","UNIT","Value","Flag and Footnotes"
"2017","Estonia","Oil and petroleum products","Total","Thousand tonnes","1.340,710",""
"2017","Ireland","Oil and petroleum products","Total","Thousand tonnes","1.863,918",""
"2017","Greece","Oil and petroleum products","Total","Thousand tonnes","19.136,377",""
"2017","Spain","Oil and petroleum products","Total","Thousand tonnes","27.578,000",""
"2017","France","Oil and petroleum products","Total","Thousand tonnes","20.333,000",""
"2017","Croatia","Oil and petroleum products","Total","Thousand tonnes","2.484,000",""
"2017","Italy","Oil and petroleum products","Total","Thousand tonnes","31.743,706",""
"2017","Cyprus","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2017","Latvia","Oil and petroleum products","Total","Thousand tonnes","749,949",""
"2017","Lithuania","Oil and petroleum products","Total","Thousand tonnes","8.257,900",""
"2017","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","25,239",""
"2017","Hungary","Oil and petroleum products","Total","Thousand tonnes","3.263,000",""
"2017","Malta","Oil and petroleum products","Total","Thousand tonnes","152,068",""
"2017","Netherlands","Oil and petroleum products","Total","Thousand tonnes","112.385,041",""
"2017","Austria","Oil and petroleum products","Total","Thousand tonnes","2.757,759",""
"2017","Poland","Oil and petroleum products","Total","Thousand tonnes","5.414,755",""
"2017","Portugal","Oil and petroleum products","Total","Thousand tonnes","6.915,292",""
"2017","Romania","Oil and petroleum products","Total","Thousand tonnes","5.057,598",""
"2017","Slovenia","Oil and petroleum products","Total","Thousand tonnes","2.080,889",""
"2017","Slovakia","Oil and petroleum products","Total","Thousand tonnes","3.951,000",""
"2017","Finland","Oil and petroleum products","Total","Thousand tonnes","9.000,000",""
"2017","Sweden","Oil and petroleum products","Total","Thousand tonnes","17.884,000",""
"2017","Iceland","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2017","Liechtenstein","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2017","Norway","Oil and petroleum products","Total","Thousand tonnes","86.168,000",""
"2017","United Kingdom","Oil and petroleum products","Total","Thousand tonnes","61.446,096",""
"2017","Montenegro","Oil and petroleum products","Total","Thousand tonnes","32,900",""
"2017","North Macedonia","Oil and petroleum products","Total","Thousand tonnes","98,504",""
"2017","Albania","Oil and petroleum products","Total","Thousand tonnes","643,370",""
"2017","Serbia","Oil and petroleum products","Total","Thousand tonnes","859,911",""
"2017","Turkey","Oil and petroleum products","Total","Thousand tonnes","6.760,000",""
"2017","Bosnia and Herzegovina","Oil and petroleum products","Total","Thousand tonnes","258,000",""
"2017","Kosovo (under United Nations Security Council Resolution 1244/99)","Oil and petroleum products","Total","Thousand tonnes","2,998",""
"2017","Moldova","Oil and petroleum products","Total","Thousand tonnes","34,932",""
"2017","Ukraine","Oil and petroleum products","Total","Thousand tonnes","375,000",""
"2017","Georgia","Oil and petroleum products","Total","Thousand tonnes","265,000",""
"2018","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","346.264,824",""
"2018","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","413.133,505",""
"2018","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","296.005,018",""
"2018","Belgium","Oil and petroleum products","Total","Thousand tonnes","32.560,000",""
"2018","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","3.537,367",""
"2018","Czechia","Oil and petroleum products","Total","Thousand tonnes","2.287,000",""
"2018","Denmark","Oil and petroleum products","Total","Thousand tonnes","9.423,445",""
"2018","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","22.641,000",""
"2018","Estonia","Oil and petroleum products","Total","Thousand tonnes","1.757,880",""
"2018","Ireland","Oil and petroleum products","Total","Thousand tonnes","1.692,700",""
"2018","Greece","Oil and petroleum products","Total","Thousand tonnes","20.189,359",""
"2018","Spain","Oil and petroleum products","Total","Thousand tonnes","25.500,000",""
"2018","France","Oil and petroleum products","Total","Thousand tonnes","20.007,438",""
"2018","Croatia","Oil and petroleum products","Total","Thousand tonnes","2.425,500",""
"2018","Italy","Oil and petroleum products","Total","Thousand tonnes","29.519,629",""
"2018","Cyprus","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2018","Latvia","Oil and petroleum products","Total","Thousand tonnes","868,604",""
"2018","Lithuania","Oil and petroleum products","Total","Thousand tonnes","7.577,000",""
"2018","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","3,345",""
"2018","Hungary","Oil and petroleum products","Total","Thousand tonnes","3.948,000",""
"2018","Malta","Oil and petroleum products","Total","Thousand tonnes","354,189",""
"2018","Netherlands","Oil and petroleum products","Total","Thousand tonnes","110.396,227",""
"2018","Austria","Oil and petroleum products","Total","Thousand tonnes","3.182,797",""
"2018","Poland","Oil and petroleum products","Total","Thousand tonnes","6.211,698",""
"2018","Portugal","Oil and petroleum products","Total","Thousand tonnes","5.290,461",""
"2018","Romania","Oil and petroleum products","Total","Thousand tonnes","5.330,796",""
"2018","Slovenia","Oil and petroleum products","Total","Thousand tonnes","2.112,389",""
"2018","Slovakia","Oil and petroleum products","Total","Thousand tonnes","3.545,000",""
"2018","Finland","Oil and petroleum products","Total","Thousand tonnes","8.807,000",""
"2018","Sweden","Oil and petroleum products","Total","Thousand tonnes","17.096,000",""
"2018","Iceland","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2018","Liechtenstein","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2018","Norway","Oil and petroleum products","Total","Thousand tonnes","80.928,061",""
